Address,City,State,Zip,Gutter Clearing,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size
816 Northeast 43rd Street,Seattle,Washington,98105,1675,N/A,400,1295,1717,N/A,10 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
11790 Southwest Barnes Road,Portland,Oregon,97225,1660,Composition,1974,574995,357075,1,,,,,,,
510 Forsyth Lane,Edmonds,Washington,98020,1525,Flat,1041,465000,505138,4,4 / 12 or less,20+,40ft,20+,40ft,20+,40ft
21 Cherry Loop Northwest,Shoreline,Washington,98177,1365,N/A,8510,4297900,1453700,N/A,9 / 12,9 - 20,28ft,9 - 20,28ft,9 - 20,28ft
16783 Southeast 59th Street,Bellevue,Washington,98006,1310,Tile,6380,3083900,2457813,N/A,8 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
4039 Hunts Point Road,Hunts Point,Washington,98004,1285,N/A,4980,15314200,17569225,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
4039 Hunts Point Road,Hunts Point,Washington,98004,1285,N/A,4980,15314200,17569225,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
4039 Hunts Point Road,Hunts Point,Washington,98004,1285,N/A,4980,15314200,17569225,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
3435 Evergreen Point Road,Medina,Washington,98039,1145,N/A,7050,26805500,11535688,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
2170 6th Avenue North Suite 201,Seattle,Washington,98109,1100,Torch Down,1714,835000,689975,3,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
2170 6th Avenue North Suite 201,Seattle,Washington,98109,1100,Torch Down,1714,835000,689975,3,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
2800 14th Avenue Southeast,Albany,Oregon,97322,1080,N/A,N/A,N/A,399400,1,,,,,,,
7416 4th Avenue Northeast,Seattle,Washington,98115,985,N/A,1274,745400,846750,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,20+,40ft
26300 Southwest French Oak Drive,West Linn,Oregon,97068,975,Metal,8663,6540000,4159713,2,6 / 12,1 - 3,32ft,20+,32ft,20+,32ft
5959 Southwest Old Scholls Ferry Road,Portland,Oregon,97225,950,Composition,14374,6250000,956924,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,28ft
911 3rd Street,Hood River,Oregon,97031,920,Metal,6676,1488600,833029,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
19935 Northeast 129th Street,Woodinville,Washington,98077,915,Composition,4330,2908500,2805463,N/A,11 / 12,9 - 20,32ft,9 - 20,32ft,9 - 20,32ft
5400 Southwest Hewett Boulevard,Portland,Oregon,97221,900,Shake / Shingle,7800,3284800,1087580,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
5400 Southwest Hewett Boulevard,Portland,Oregon,97221,900,Shake / Shingle,7800,3284800,1087580,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
2530 42nd Avenue West,Seattle,Washington,98199,895,Tile,6190,4100000,2042175,Multi/Split,9 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
9700 Ravenna Avenue Northeast,Seattle,Washington,98115,880,N/A,1544,613400,561722,N/A,,,,,,,
9700 Ravenna Avenue Northeast,Seattle,Washington,98115,880,N/A,1544,613400,561722,N/A,,,,,,,
2035 Eastlake Avenue East,Seattle,Washington,98102,850,N/A,908,N/A,611600,N/A,4 / 12 or less,4 - 8,40ft,9 - 20,40ft,20+,40ft
2035 Eastlake Avenue East,Seattle,Washington,98102,850,N/A,908,N/A,611600,N/A,4 / 12 or less,4 - 8,40ft,9 - 20,40ft,20+,40ft
8810 Northwest Ryan Street,Portland,Oregon,97229,850,Composition,5406,1573400,1188738,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1800 Federal Avenue East,Seattle,Washington,98102,850,Metal,5780,3000000,2305575,Multi/Split,8 / 12,9 - 20,40ft,20+,40ft,20+,32ft
9205 Southeast Shoreland Drive,Bellevue,Washington,98004,825,Tile,6290,12520000,4978417,N/A,6 / 12,4 - 8,40ft,9 - 20,40ft,9 - 20,40ft
10120 Chapel Hill Road Church of LDS,Lake Stevens,Washington,98258,800,Composition,1974,574995,357075,1,,,,,,,
3833 234th Avenue Southeast,Sammamish,Washington,98075,800,Tile,4740,2784700,2367575,N/A,,,,,,,
8234 Northeast 8th Street,Medina,Washington,98039,800,Composition,4359,4800000,3664775,2,,,,,,,
422 North E Street,Tacoma,Washington,98403,785,N/A,710,1750,1456,N/A,Steeper Than 12 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
138 Madrona Place East,Seattle,Washington,98112,785,N/A,4140,4429000,3714375,N/A,11 / 12,4 - 8,,9 - 20,,20+,
7307 235th Avenue Northeast,Redmond,Washington,98053,770,N/A,3300,1810100,1413825,N/A,,,,,,,
6410 East Mercer Way,Mercer Island,Washington,98040,765,Composition,4820,3996600,3089060,N/A,10 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,32ft
1014 Northwest 132nd Street,Seattle,Washington,98177,765,N/A,4540,2736200,2246914,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
1014 Northwest 132nd Street,Seattle,Washington,98177,765,N/A,4540,2736200,2246914,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
11635 91st Place Northeast,Kirkland,Washington,98034,760,N/A,1324,713500,1080760,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,20+,32ft
3218 134th Avenue Northeast,Bellevue,Washington,98005,755,Composition,6604,5219600,3664850,N/A,8 / 12,4 - 8,32ft,4 - 8,32ft,20+,28ft
29025 Northeast 5th Way,Carnation,Washington,98014,755,N/A,7155,3540800,2954538,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
29025 Northeast 5th Way,Carnation,Washington,98014,755,N/A,7155,3540800,2954538,N/A,8 / 12,4 - 8,28ft,4 - 8,28ft,20+,28ft
630 5th Avenue South,Edmonds,Washington,98020,750,Composition,907,276500,451522,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,20+,32ft
2910 South Brandywine Drive,West Linn,Oregon,97068,750,N/A,6909,2934000,3356971,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
815 East Avenue,Lake Oswego,Oregon,97034,745,Composition,1974,574995,357075,1,,,,,,,
12835 Newcastle Way,Newcastle,Washington,98056,745,Composition,1974,574995,357075,1,4 / 12 or less,1 - 3,40ft,20+,40ft,20+,40ft
2777 Beacon Hill Drive,West Linn,Oregon,97068,740,N/A,5452,1626100,1492012,N/A,10 / 12,1 - 3,32ft,20+,32ft,9 - 20,32ft
10913 81st Place Northeast,Kirkland,Washington,98034,740,N/A,5310,6210500,4556671,N/A,8 / 12,4 - 8,40ft,20+,40ft,20+,40ft
3219 East Lake Sammamish Shore Lane Southeast,Sammamish,Washington,98075,740,N/A,5130,8244500,2072757,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
10533 174th Avenue Southeast,Renton,Washington,98059,725,Metal,3984,1727200,1294025,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5811 212th Place Southwest,Mountlake Terrace,Washington,98043,720,Composition,1475,628500,616529,N/A,8 / 12,4 - 8,40ft,9 - 20,40ft,20+,40ft
1818 East Jefferson Street,Seattle,Washington,98122,720,N/A,N/A,593000,593500,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
2451 55th Avenue Southwest UNIT A & B,Seattle,Washington,98116,700,N/A,1360,879700,971400,N/A,,,,,,,
19605 93rd Place Northeast,Bothell,Washington,98011,685,Composition,3385,1653600,1294075,N/A,8 / 12,4 - 8,40ft,4 - 8,40ft,20+,40ft
23221 Southeast 47th Way,Sammamish,Washington,98075,685,N/A,3420,2104800,2039013,N/A,10 / 12,4 - 8,32ft,4 - 8,32ft,20+,32ft
2522 199th Avenue Court East,Lake Tapps,Washington,98391,685,Tile,3811,2172200,2114150,N/A,8 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
3719 234th Avenue Southeast,Sammamish,Washington,98075,685,N/A,4930,2895700,2067350,N/A,10 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft
