Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
1000 Southwest Cheltenham Street,Portland,Oregon,97239,"Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $205), Gutter Guard Installation (1, $1310), Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $225), Screen Cleaning (1, $30), Track Cleaning (1, $127), Window Frame Cleaning  (1, $90), Window Cleaning Discount (1, $-70), Skylight Cleaning (1, $60)",150,Composite - Architectural,2554,775900,672093,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
1001 Southeast 121st Avenue,Vancouver,Washington,98683,"Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Exterior Gutter Washing (1, $165), Gutter Guard Installation (1, $1080), House Wash (1, $950), Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $30), Track Cleaning (1, $127), Window Frame Cleaning  (1, $78), Window Cleaning Discount (1, $-55)",135,Composite - Architectural,1310,426900,460475,N/A,,Composite - Architectural,4 / 12 or less,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
1001 Southeast 121st Avenue,Vancouver,Washington,98683,"Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Exterior Gutter Washing (1, $165), Gutter Guard Installation (1, $1080), House Wash (1, $950), Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $30), Track Cleaning (1, $127), Window Frame Cleaning  (1, $78), Window Cleaning Discount (1, $-55)",135,Composite - Architectural,1310,426900,460475,N/A,,Composite - Architectural,4 / 12 or less,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
10010 Ashworth Avenue North,Seattle,Washington,98133,"Moss Removal (1, $715), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $145), Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1385), House Wash (1, $1125), Interior Window Cleaning (1, $255), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $65), Track Cleaning (1, $216), Window Frame Cleaning  (1, $148), Window Cleaning Discount (1, $-75), Pressure Washing - Driveway (1, $450)",145,Composite - Architectural,1770,786000,911038,N/A,,Composite - Architectural,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
10011 Northeast 13th Street,Bellevue,Washington,98004,"Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $280), Gutter Guard Installation (1, $1625), House Wash (1, $1680), Interior Window Cleaning (1, $490), Exterior Window Cleaning (1, $575), Screen Cleaning (1, $100), Track Cleaning (1, $416), Window Frame Cleaning  (1, $230), Window Cleaning Discount (1, $-165), Pressure Washing - Driveway (1, $615), Pressure Washing - Back Patios (1, $425)",160,Composite - Presidential,4310,3765800,3382014,N/A,,Composite - Presidential,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10012 14th Place Southeast,Lake Stevens,Washington,98258,"Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $275), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $50), Window Cleaning Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $320), Exterior Gutter Washing (1, $235), Gutter Guard Installation (1, $1585), Track Cleaning (1, $182), Window Frame Cleaning  (1, $110)",170,Composite - Architectural,2565,806600,775225,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
10014 59th Avenue South,Seattle,Washington,98178,"Gutter Clearing (1, $330), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Repair - (Reattachments) (1, $150), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-100), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $245), Gutter Guard Installation (1, $1620), Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $305), Screen Cleaning (1, $50), Track Cleaning (1, $208), Window Frame Cleaning  (1, $122), Window Cleaning Discount (1, $-80), Gutter Reseal (1, $150)",170,Composite - Architectural,3050,840000,810450,2,,Composite - Architectural,6 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
10015 Northeast 162nd Street,Bothell,Washington,98011,"Gutter Clearing (1, $485), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $260), Preventative Roof Treatment - Zinc Powder (1, $215), Exterior Gutter Washing (1, $410), Gutter Guard Installation (1, $2640), House Wash (1, $1880), Interior Window Cleaning (1, $365), Exterior Window Cleaning (1, $450), Screen Cleaning (1, $100), Track Cleaning (1, $310), Window Frame Cleaning  (1, $180), Window Cleaning Discount (1, $-80), Skylight Cleaning (1, $90), Pressure Washing - Driveway  (1, $845)",215,Composite - Architectural,5040,2509900,2302167,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10016 11th Avenue Southwest,Seattle,Washington,98146,"Pressure Washing (1, $1185), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $315), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1610), House Wash (1, $1420), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-80)",160,Composite - Architectural,2120,839000,610643,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
10017 228 Place Southeast,Woodinville,Washington,98077,"Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Reattachment (1, $150), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $170), Gutter Guard Installation (1, $780), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $210), Screen Cleaning (1, $55), Track Cleaning (1, $153), Window Frame Cleaning  (1, $84)",145,Composite - Architectural,2080,615000,881514,1,,Composite - Architectural,4 / 12 or less,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
